Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
27-06-2023,14:26,26-06-2023,SACYR SA-RIGHTS,ES06828709N7,DIVIDENDO FLEXIBLE: Venta 175 SACYR SA-RIGHTS@0 EUR (ES06828709N7),,EUR,0.00,EUR,4.15,
20-06-2023,08:03,20-06-2023,SACYR SA-RIGHTS,ES06828709N7,EMISIÓN DE DERECHOS: Compra 175 SACYR SA-RIGHTS@0 EUR (ES06828709N7),,EUR,0.00,EUR,4.15,
18-04-2023,16:49,18-04-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 616,45 EUR",,,,EUR,4.15,
18-04-2023,16:49,18-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,616.45,EUR,620.60,
18-04-2023,14:26,18-04-2023,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,"Compra 45 Accion IBEX 35 ETF, FI Cotizado Armonizado@9,49 EUR (ES0105336038)",,EUR,-427.05,EUR,4.15,d9402ff5-8b77-4c85-a9aa-22bf609c11c8
18-04-2023,14:17,18-04-2023,"ACCION IBEX 35 ETF, FI COTIZADO",ES0105336038,"Compra 20 Accion IBEX 35 ETF, FI Cotizado Armonizado@9,47 EUR (ES0105336038)",,EUR,-189.40,EUR,431.20,d9402ff5-8b77-4c85-a9aa-22bf609c11c8
17-04-2023,17:01,17-04-2023,,,flatex Deposit,,EUR,513.50,EUR,620.60,
02-04-2023,23:51,31-03-2023,,,Flatex Interest Income,,EUR,0.00,EUR,107.10,
24-02-2023,16:19,24-02-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 19,24 EUR",,,,EUR,107.10,
24-02-2023,16:19,24-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-19.24,EUR,87.86,
24-02-2023,07:35,23-02-2023,LOGISTA INTEGRAL SA,ES0105027009,Dividendo,,EUR,23.75,EUR,107.10,
24-02-2023,07:35,23-02-2023,LOGISTA INTEGRAL SA,ES0105027009,Retención del dividendo,,EUR,-4.51,EUR,83.35,
15-02-2023,16:49,15-02-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 6,84 EUR",,,,EUR,87.86,
15-02-2023,16:49,15-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-6.84,EUR,81.02,
15-02-2023,08:04,14-02-2023,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Dividendo,,EUR,8.45,EUR,87.86,
15-02-2023,08:04,14-02-2023,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Retención del dividendo,,EUR,-1.61,EUR,79.41,
02-02-2023,20:19,02-02-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 8,22 EUR",,,,EUR,81.02,
02-02-2023,20:19,02-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-8.22,EUR,72.80,
02-02-2023,07:01,01-02-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709M9,DESLISTAMIENTO : Venta 175 SACYR SA-RIGHTS - Non tradeable@0 EUR (ES06828709M9),,EUR,0.00,EUR,81.02,
02-02-2023,06:36,31-01-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709M9,Dividendo,,EUR,10.15,EUR,81.02,
02-02-2023,06:36,31-01-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709M9,Retención del dividendo,,EUR,-1.93,EUR,70.87,
19-01-2023,13:59,18-01-2023,SACYR SA-RIGHTS - NON TRADEABLE,ES06828709M9,DIVIDENDO FLEXIBLE: Compra 175 SACYR SA-RIGHTS - Non tradeable@0 EUR (ES06828709M9),,EUR,0.00,EUR,72.80,
19-01-2023,13:58,18-01-2023,SACYR SA-RIGHTS,ES06828709M9,DIVIDENDO FLEXIBLE: Venta 175 SACYR SA-RIGHTS@0 EUR (ES06828709M9),,EUR,0.00,EUR,72.80,
13-01-2023,17:19,13-01-2023,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3 EUR,,,,EUR,72.80,
13-01-2023,17:19,13-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.00,EUR,69.80,
13-01-2023,15:21,13-01-2023,SACYR SA-RIGHTS,ES06828709M9,CAMBIO DE ISIN: Compra 175 SACYR SA-RIGHTS@0 EUR (ES06828709M9),,EUR,0.00,EUR,72.80,
13-01-2023,15:21,13-01-2023,SACYR SA - NON TRADEABLE,ES06828709M9,CAMBIO DE ISIN: Venta 175 Sacyr SA - Non tradeable@0 EUR (ES06828709M9),,EUR,0.00,EUR,72.80,
13-01-2023,14:50,14-11-2022,,,Promoción DEGIRO reembolso,,EUR,3.00,EUR,72.80,
13-01-2023,09:18,13-01-2023,SACYR SA - NON TRADEABLE,ES06828709M9,EMISIÓN DE DERECHOS: Compra 175 Sacyr SA - Non tradeable@0 EUR (ES06828709M9),,EUR,0.00,EUR,69.80,
04-01-2023,19:31,02-01-2023,,,Flatex Interest Income,,EUR,0.00,EUR,69.80,
27-12-2022,16:49,27-12-2022,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 594,69 EUR",,,,EUR,69.80,
27-12-2022,16:49,27-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,594.69,EUR,664.49,
27-12-2022,12:04,27-12-2022,LOGISTA INTEGRAL SA,ES0105027009,Spanish Transaction Tax,,EUR,-1.19,EUR,69.80,a76eb664-8584-4474-aaae-bea72b8276d2
27-12-2022,12:04,27-12-2022,LOGISTA INTEGRAL SA,ES0105027009,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,70.99,a76eb664-8584-4474-aaae-bea72b8276d2
27-12-2022,12:04,27-12-2022,LOGISTA INTEGRAL SA,ES0105027009,"Compra 25 Logista Integral SA@23,7 EUR (ES0105027009)",,EUR,-592.50,EUR,71.99,a76eb664-8584-4474-aaae-bea72b8276d2
23-12-2022,16:51,23-12-2022,,,flatex Deposit,,EUR,286.50,EUR,664.49,
24-11-2022,16:18,24-11-2022,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 449,19 EUR",,,,EUR,377.99,
24-11-2022,16:18,24-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,449.19,EUR,827.18,
24-11-2022,09:00,24-11-2022,SACYR SA,ES0182870214,Spanish Transaction Tax,,EUR,-0.89,EUR,377.99,45b1ab5e-237e-441c-b110-552c1b260cb0
24-11-2022,09:00,24-11-2022,SACYR SA,ES0182870214,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,378.88,45b1ab5e-237e-441c-b110-552c1b260cb0
24-11-2022,09:00,24-11-2022,SACYR SA,ES0182870214,"Compra 175 Sacyr SA@2,556 EUR (ES0182870214)",,EUR,-447.30,EUR,379.88,45b1ab5e-237e-441c-b110-552c1b260cb0
23-11-2022,19:40,23-11-2022,,,flatex Deposit,,EUR,700.00,EUR,827.18,
22-11-2022,17:03,22-11-2022,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.372,82 EUR",,,,EUR,127.18,
22-11-2022,17:03,22-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1372.82,EUR,1500.00,
22-11-2022,09:42,22-11-2022,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,127.18,fbc8b3b7-ae0a-41c1-afc2-8a49ee160534
22-11-2022,09:42,22-11-2022,"ACCION EUROSTOXX 50 ETF, FI COTIZADO",ES0105321030,"Compra 35 Accion Eurostoxx 50 ETF, FI Cotizado Armonizado@39,195 EUR (ES0105321030)",,EUR,-1371.83,EUR,128.18,fbc8b3b7-ae0a-41c1-afc2-8a49ee160534
21-11-2022,16:50,21-11-2022,,,flatex Deposit,,EUR,1000.00,EUR,1500.00,
18-11-2022,10:34,17-11-2022,,,Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 500 EUR,,,,EUR,500.00,
18-11-2022,10:34,17-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-500.00,EUR,0.00,
17-11-2022,18:01,17-11-2022,,,Ingreso,,EUR,500.00,EUR,500.00,
